category,trials,TP,FP,FN,detected,accuracy,diag_accuracy,precision,recall,f1,latency_mean_s,latency_variance,latency_std_s,confidence_mean
API_REQUEST_FAILURE,10,9,0,1,10,0.9,0.9,1.0,0.9,0.9474,53.49,32.56,5.71,0.81
DYNAMODB_FAILURE,10,9,0,1,9,0.9,1.0,1.0,0.9,0.9474,53.64,213.96,14.63,0.911
HIGH_RESOURCE_USAGE,11,10,0,1,11,0.9091,0.9091,1.0,0.9091,0.9524,61.42,266.15,16.31,0.818
LAMBDA_EXCEPTION,13,13,0,0,13,1.0,1.0,1.0,1.0,1.0,62.11,233.7,15.29,0.9
LAMBDA_TIMEOUT,9,9,0,0,9,1.0,1.0,1.0,1.0,1.0,71.76,163.12,12.77,0.9
NO_FAULT,3,0,2,3,0,0.0,0.0,0.0,0.0,0.0,,,,
